vegId,name,type,picUrl,description,price,shopId
11,Tomato,Organic,https://images-prod.healthline.com/hlcmsresource/images/AN_images/tomatoes-1296x728-feature.jpg,"The tomato is the edible berry of the plant Solanum lycopersicum,[1][2] commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.[2][3] The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.",13.99,6
12,Tomato,Non-Organic,https://www.almanac.com/sites/default/files/styles/large/public/image_nodes/tomatoes_helios4eos_gettyimages-edit.jpeg,"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content (table).",9.99,6
13,Tomato,Organic,https://images-prod.healthline.com/hlcmsresource/images/AN_images/tomatoes-1296x728-feature.jpg,"The tomato is the edible berry of the plant Solanum lycopersicum,[1][2] commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.[2][3] The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.",7.99,7
14,Tomato,Non-Organic,https://www.almanac.com/sites/default/files/styles/large/public/image_nodes/tomatoes_helios4eos_gettyimages-edit.jpeg,"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content (table).",2.99,7
15,Tomato,Organic,https://images-prod.healthline.com/hlcmsresource/images/AN_images/tomatoes-1296x728-feature.jpg,"The tomato is the edible berry of the plant Solanum lycopersicum,[1][2] commonly known as the tomato plant. The species originated in western South America, Mexico, and Central America.[2][3] The Mexican Nahuatl word tomatl gave rise to the Spanish word tomate, from which the English word tomato derived.",9.99,8
16,Tomato,Non-Organic,https://www.almanac.com/sites/default/files/styles/large/public/image_nodes/tomatoes_helios4eos_gettyimages-edit.jpeg,"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content (table).",5.99,8
17,Carrot,Organic,https://www.jessicagavin.com/wp-content/uploads/2019/02/carrots-7-1200.jpg,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",3.45,1
18,Carrot,Non-Organic,"https://assets.bonappetit.com/photos/5cab6c0e3559180deec8b055/1:1/w_2869,h_2869,c_limit/Basically-Carrots.jpg","The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",4.45,1
19,Carrot,Organic,https://www.jessicagavin.com/wp-content/uploads/2019/02/carrots-7-1200.jpg,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",2.45,2
20,Carrot,Non-Organic,"https://assets.bonappetit.com/photos/5cab6c0e3559180deec8b055/1:1/w_2869,h_2869,c_limit/Basically-Carrots.jpg","The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",1.45,2
21,Carrot,Organic,https://www.jessicagavin.com/wp-content/uploads/2019/02/carrots-7-1200.jpg,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",6.45,3
22,Carrot,Non-Organic,"https://assets.bonappetit.com/photos/5cab6c0e3559180deec8b055/1:1/w_2869,h_2869,c_limit/Basically-Carrots.jpg","The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",3.45,3
23,Carrot,Organic,https://www.jessicagavin.com/wp-content/uploads/2019/02/carrots-7-1200.jpg,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",5.45,4
24,Carrot,Non-Organic,"https://assets.bonappetit.com/photos/5cab6c0e3559180deec8b055/1:1/w_2869,h_2869,c_limit/Basically-Carrots.jpg","The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",4.45,4
25,Carrot,Organic,https://www.jessicagavin.com/wp-content/uploads/2019/02/carrots-7-1200.jpg,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",9.45,5
26,Carrot,Non-Organic,"https://assets.bonappetit.com/photos/5cab6c0e3559180deec8b055/1:1/w_2869,h_2869,c_limit/Basically-Carrots.jpg","The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",5.45,5
27,Carrot,Organic,https://www.jessicagavin.com/wp-content/uploads/2019/02/carrots-7-1200.jpg,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",4.45,6
28,Carrot,Non-Organic,"https://assets.bonappetit.com/photos/5cab6c0e3559180deec8b055/1:1/w_2869,h_2869,c_limit/Basically-Carrots.jpg","The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",6.45,6
29,Carrot,Organic,https://www.jessicagavin.com/wp-content/uploads/2019/02/carrots-7-1200.jpg,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",2.45,7
30,Carrot,Non-Organic,"https://assets.bonappetit.com/photos/5cab6c0e3559180deec8b055/1:1/w_2869,h_2869,c_limit/Basically-Carrots.jpg","The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",3.45,7
31,Carrot,Organic,https://www.jessicagavin.com/wp-content/uploads/2019/02/carrots-7-1200.jpg,"The carrot (Daucus carota subsp. sativus) is a root vegetable, typically orange in color, though purple, black, red, white, and yellow cultivars exist,all of which are domesticated forms of the wild carrot, Daucus carota, native to Europe and Southwestern Asia.",6.45,8
32,Carrot,Non-Organic,"https://assets.bonappetit.com/photos/5cab6c0e3559180deec8b055/1:1/w_2869,h_2869,c_limit/Basically-Carrots.jpg","The carrot is a biennial plant in the umbellifer family, Apiaceae. At first, it grows a rosette of leaves while building up the enlarged taproot.",1.45,8
33,Onion,organic,https://m.media-amazon.com/images/I/71S0W9uaXjL._SL1500_.jpg,"The onion (Allium cepa L., from Latin cepa meaning ""onion""), also known as the bulb onion or common onion, is a vegetable that is the most widely cultivated species of the genus Allium.",5.63,1
34,Onion,non organic,https://cdn.shopify.com/s/files/1/0257/4565/3811/articles/BONNIE_onions_iStock-892022394-1800px_cf21330f-cbf5-4e85-8212-15855474e8a6.jpg,"This genus also contains several other species variously referred to as onions and cultivated for food, such as the Japanese bunching onion (Allium fistulosum), the tree onion (A. × proliferum), and the Canada onion (Allium canadense).",4.63,1
35,Onion,organic,https://m.media-amazon.com/images/I/71S0W9uaXjL._SL1500_.jpg,"The onion (Allium cepa L., from Latin cepa meaning ""onion""), also known as the bulb onion or common onion, is a vegetable that is the most widely cultivated species of the genus Allium.",6.63,2
36,Onion,non organic,https://cdn.shopify.com/s/files/1/0257/4565/3811/articles/BONNIE_onions_iStock-892022394-1800px_cf21330f-cbf5-4e85-8212-15855474e8a6.jpg,"This genus also contains several other species variously referred to as onions and cultivated for food, such as the Japanese bunching onion (Allium fistulosum), the tree onion (A. × proliferum), and the Canada onion (Allium canadense).",3.63,2
37,Onion,organic,https://m.media-amazon.com/images/I/71S0W9uaXjL._SL1500_.jpg,"The onion (Allium cepa L., from Latin cepa meaning ""onion""), also known as the bulb onion or common onion, is a vegetable that is the most widely cultivated species of the genus Allium.",8.63,3
38,Onion,non organic,https://cdn.shopify.com/s/files/1/0257/4565/3811/articles/BONNIE_onions_iStock-892022394-1800px_cf21330f-cbf5-4e85-8212-15855474e8a6.jpg,"This genus also contains several other species variously referred to as onions and cultivated for food, such as the Japanese bunching onion (Allium fistulosum), the tree onion (A. × proliferum), and the Canada onion (Allium canadense).",2.63,3
39,Onion,organic,https://m.media-amazon.com/images/I/71S0W9uaXjL._SL1500_.jpg,"The onion (Allium cepa L., from Latin cepa meaning ""onion""), also known as the bulb onion or common onion, is a vegetable that is the most widely cultivated species of the genus Allium.",5.63,4
40,Onion,non organic,https://cdn.shopify.com/s/files/1/0257/4565/3811/articles/BONNIE_onions_iStock-892022394-1800px_cf21330f-cbf5-4e85-8212-15855474e8a6.jpg,"This genus also contains several other species variously referred to as onions and cultivated for food, such as the Japanese bunching onion (Allium fistulosum), the tree onion (A. × proliferum), and the Canada onion (Allium canadense).",2.63,4
41,Onion,organic,https://m.media-amazon.com/images/I/71S0W9uaXjL._SL1500_.jpg,"The onion (Allium cepa L., from Latin cepa meaning ""onion""), also known as the bulb onion or common onion, is a vegetable that is the most widely cultivated species of the genus Allium.",4.63,5
42,Onion,non organic,https://cdn.shopify.com/s/files/1/0257/4565/3811/articles/BONNIE_onions_iStock-892022394-1800px_cf21330f-cbf5-4e85-8212-15855474e8a6.jpg,"This genus also contains several other species variously referred to as onions and cultivated for food, such as the Japanese bunching onion (Allium fistulosum), the tree onion (A. × proliferum), and the Canada onion (Allium canadense).",3.63,5
43,Onion,organic,https://m.media-amazon.com/images/I/71S0W9uaXjL._SL1500_.jpg,"The onion (Allium cepa L., from Latin cepa meaning ""onion""), also known as the bulb onion or common onion, is a vegetable that is the most widely cultivated species of the genus Allium.",4.63,6
44,Onion,non organic,https://cdn.shopify.com/s/files/1/0257/4565/3811/articles/BONNIE_onions_iStock-892022394-1800px_cf21330f-cbf5-4e85-8212-15855474e8a6.jpg,"This genus also contains several other species variously referred to as onions and cultivated for food, such as the Japanese bunching onion (Allium fistulosum), the tree onion (A. × proliferum), and the Canada onion (Allium canadense).",2.63,6
45,Onion,organic,https://m.media-amazon.com/images/I/71S0W9uaXjL._SL1500_.jpg,"The onion (Allium cepa L., from Latin cepa meaning ""onion""), also known as the bulb onion or common onion, is a vegetable that is the most widely cultivated species of the genus Allium.",1.63,7
46,Onion,non organic,https://cdn.shopify.com/s/files/1/0257/4565/3811/articles/BONNIE_onions_iStock-892022394-1800px_cf21330f-cbf5-4e85-8212-15855474e8a6.jpg,"This genus also contains several other species variously referred to as onions and cultivated for food, such as the Japanese bunching onion (Allium fistulosum), the tree onion (A. × proliferum), and the Canada onion (Allium canadense).",6.63,7
47,Onion,organic,https://m.media-amazon.com/images/I/71S0W9uaXjL._SL1500_.jpg,"The onion (Allium cepa L., from Latin cepa meaning ""onion""), also known as the bulb onion or common onion, is a vegetable that is the most widely cultivated species of the genus Allium.",3.63,8
48,Onion,non organic,https://cdn.shopify.com/s/files/1/0257/4565/3811/articles/BONNIE_onions_iStock-892022394-1800px_cf21330f-cbf5-4e85-8212-15855474e8a6.jpg,"This genus also contains several other species variously referred to as onions and cultivated for food, such as the Japanese bunching onion (Allium fistulosum), the tree onion (A. × proliferum), and the Canada onion (Allium canadense).",1.63,8
49,Apple,Organic,https://media.kidadl.com/601041f1c0405e4a2008b5bc_apple_trees_are_very_beautiful_003aef333c.jpeg,An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus.,15.05,1
50,Apple,Non-Organic,https://previews.123rf.com/images/dleindec/dleindec1409/dleindec140900003/32102377-ripe-red-apples-on-the-vine-.jpg,"Apples grown from seed tend to be very different from those of their parents, and the resultant fruit frequently lacks desired characteristics. Generally, apple cultivars are propagated by clonal grafting onto rootstocks.",14.05,1
51,Apple,Organic,https://media.kidadl.com/601041f1c0405e4a2008b5bc_apple_trees_are_very_beautiful_003aef333c.jpeg,An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus.,16.05,2
52,Apple,Non-Organic,https://previews.123rf.com/images/dleindec/dleindec1409/dleindec140900003/32102377-ripe-red-apples-on-the-vine-.jpg,"Apples grown from seed tend to be very different from those of their parents, and the resultant fruit frequently lacks desired characteristics. Generally, apple cultivars are propagated by clonal grafting onto rootstocks.",13.05,2
53,Apple,Organic,https://media.kidadl.com/601041f1c0405e4a2008b5bc_apple_trees_are_very_beautiful_003aef333c.jpeg,An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus.,18.05,3
54,Apple,Non-Organic,https://previews.123rf.com/images/dleindec/dleindec1409/dleindec140900003/32102377-ripe-red-apples-on-the-vine-.jpg,"Apples grown from seed tend to be very different from those of their parents, and the resultant fruit frequently lacks desired characteristics. Generally, apple cultivars are propagated by clonal grafting onto rootstocks.",12.05,3
55,Apple,Organic,https://media.kidadl.com/601041f1c0405e4a2008b5bc_apple_trees_are_very_beautiful_003aef333c.jpeg,An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus.,15.05,4
56,Apple,Non-Organic,https://previews.123rf.com/images/dleindec/dleindec1409/dleindec140900003/32102377-ripe-red-apples-on-the-vine-.jpg,"Apples grown from seed tend to be very different from those of their parents, and the resultant fruit frequently lacks desired characteristics. Generally, apple cultivars are propagated by clonal grafting onto rootstocks.",12.05,4
57,Apple,Organic,https://media.kidadl.com/601041f1c0405e4a2008b5bc_apple_trees_are_very_beautiful_003aef333c.jpeg,An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus.,14.05,5
58,Apple,Non-Organic,https://previews.123rf.com/images/dleindec/dleindec1409/dleindec140900003/32102377-ripe-red-apples-on-the-vine-.jpg,"Apples grown from seed tend to be very different from those of their parents, and the resultant fruit frequently lacks desired characteristics. Generally, apple cultivars are propagated by clonal grafting onto rootstocks.",13.05,5
59,Apple,Organic,https://media.kidadl.com/601041f1c0405e4a2008b5bc_apple_trees_are_very_beautiful_003aef333c.jpeg,An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus.,14.05,6
60,Apple,Non-Organic,https://previews.123rf.com/images/dleindec/dleindec1409/dleindec140900003/32102377-ripe-red-apples-on-the-vine-.jpg,"Apples grown from seed tend to be very different from those of their parents, and the resultant fruit frequently lacks desired characteristics. Generally, apple cultivars are propagated by clonal grafting onto rootstocks.",12.05,6
61,Apple,Organic,https://media.kidadl.com/601041f1c0405e4a2008b5bc_apple_trees_are_very_beautiful_003aef333c.jpeg,An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus.,11.05,7
62,Apple,Non-Organic,https://previews.123rf.com/images/dleindec/dleindec1409/dleindec140900003/32102377-ripe-red-apples-on-the-vine-.jpg,"Apples grown from seed tend to be very different from those of their parents, and the resultant fruit frequently lacks desired characteristics. Generally, apple cultivars are propagated by clonal grafting onto rootstocks.",16.05,7
63,Apple,Organic,https://media.kidadl.com/601041f1c0405e4a2008b5bc_apple_trees_are_very_beautiful_003aef333c.jpeg,An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus.,13.05,8
64,Apple,Non-Organic,https://previews.123rf.com/images/dleindec/dleindec1409/dleindec140900003/32102377-ripe-red-apples-on-the-vine-.jpg,"Apples grown from seed tend to be very different from those of their parents, and the resultant fruit frequently lacks desired characteristics. Generally, apple cultivars are propagated by clonal grafting onto rootstocks.",11.05,8
65,Banana,Organic,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/30/2018/08/bananas-1354785_1920.jpg,"A banana is an elongated, edible fruit – botanically a berry[1][2] – produced by several kinds of large herbaceous flowering plants in the genus Musa.[3] In some countries, bananas used for cooking may be called ""plantains"", distinguishing them from dessert bananas.",13.05,1
66,Banana,Non-Organic,https://i5.walmartimages.com/asr/93a17e9f-c519-487e-8f61-6f7b58fc764f.07776d55da72f8818cec403ec35ff81c.jpeg,"Export bananas are picked green, and ripen in special rooms upon arrival in the destination country. These rooms are air-tight and filled with ethylene gas to induce ripening.",10.05,1
67,Banana,Organic,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/30/2018/08/bananas-1354785_1920.jpg,"A banana is an elongated, edible fruit – botanically a berry[1][2] – produced by several kinds of large herbaceous flowering plants in the genus Musa.[3] In some countries, bananas used for cooking may be called ""plantains"", distinguishing them from dessert bananas.",9.05,2
68,Banana,Non-Organic,https://i5.walmartimages.com/asr/93a17e9f-c519-487e-8f61-6f7b58fc764f.07776d55da72f8818cec403ec35ff81c.jpeg,"Export bananas are picked green, and ripen in special rooms upon arrival in the destination country. These rooms are air-tight and filled with ethylene gas to induce ripening.",13.05,2
69,Banana,Organic,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/30/2018/08/bananas-1354785_1920.jpg,"A banana is an elongated, edible fruit – botanically a berry[1][2] – produced by several kinds of large herbaceous flowering plants in the genus Musa.[3] In some countries, bananas used for cooking may be called ""plantains"", distinguishing them from dessert bananas.",18.05,3
70,Banana,Non-Organic,https://i5.walmartimages.com/asr/93a17e9f-c519-487e-8f61-6f7b58fc764f.07776d55da72f8818cec403ec35ff81c.jpeg,"Export bananas are picked green, and ripen in special rooms upon arrival in the destination country. These rooms are air-tight and filled with ethylene gas to induce ripening.",15.05,3
71,Banana,Organic,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/30/2018/08/bananas-1354785_1920.jpg,"A banana is an elongated, edible fruit – botanically a berry[1][2] – produced by several kinds of large herbaceous flowering plants in the genus Musa.[3] In some countries, bananas used for cooking may be called ""plantains"", distinguishing them from dessert bananas.",12.05,4
72,Banana,Non-Organic,https://i5.walmartimages.com/asr/93a17e9f-c519-487e-8f61-6f7b58fc764f.07776d55da72f8818cec403ec35ff81c.jpeg,"Export bananas are picked green, and ripen in special rooms upon arrival in the destination country. These rooms are air-tight and filled with ethylene gas to induce ripening.",7.05,4
73,Banana,Organic,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/30/2018/08/bananas-1354785_1920.jpg,"A banana is an elongated, edible fruit – botanically a berry[1][2] – produced by several kinds of large herbaceous flowering plants in the genus Musa.[3] In some countries, bananas used for cooking may be called ""plantains"", distinguishing them from dessert bananas.",13.05,5
74,Banana,Non-Organic,https://i5.walmartimages.com/asr/93a17e9f-c519-487e-8f61-6f7b58fc764f.07776d55da72f8818cec403ec35ff81c.jpeg,"Export bananas are picked green, and ripen in special rooms upon arrival in the destination country. These rooms are air-tight and filled with ethylene gas to induce ripening.",8.05,5
75,Banana,Organic,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/30/2018/08/bananas-1354785_1920.jpg,"A banana is an elongated, edible fruit – botanically a berry[1][2] – produced by several kinds of large herbaceous flowering plants in the genus Musa.[3] In some countries, bananas used for cooking may be called ""plantains"", distinguishing them from dessert bananas.",18.05,6
76,Banana,Non-Organic,https://i5.walmartimages.com/asr/93a17e9f-c519-487e-8f61-6f7b58fc764f.07776d55da72f8818cec403ec35ff81c.jpeg,"Export bananas are picked green, and ripen in special rooms upon arrival in the destination country. These rooms are air-tight and filled with ethylene gas to induce ripening.",17.05,6
77,Banana,Organic,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/30/2018/08/bananas-1354785_1920.jpg,"A banana is an elongated, edible fruit – botanically a berry[1][2] – produced by several kinds of large herbaceous flowering plants in the genus Musa.[3] In some countries, bananas used for cooking may be called ""plantains"", distinguishing them from dessert bananas.",13.05,7
78,Banana,Non-Organic,https://i5.walmartimages.com/asr/93a17e9f-c519-487e-8f61-6f7b58fc764f.07776d55da72f8818cec403ec35ff81c.jpeg,"Export bananas are picked green, and ripen in special rooms upon arrival in the destination country. These rooms are air-tight and filled with ethylene gas to induce ripening.",9.05,7
79,Banana,Organic,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/30/2018/08/bananas-1354785_1920.jpg,"A banana is an elongated, edible fruit – botanically a berry[1][2] – produced by several kinds of large herbaceous flowering plants in the genus Musa.[3] In some countries, bananas used for cooking may be called ""plantains"", distinguishing them from dessert bananas.",16.05,8
80,Banana,Non-Organic,https://i5.walmartimages.com/asr/93a17e9f-c519-487e-8f61-6f7b58fc764f.07776d55da72f8818cec403ec35ff81c.jpeg,"Export bananas are picked green, and ripen in special rooms upon arrival in the destination country. These rooms are air-tight and filled with ethylene gas to induce ripening.",15.05,8
81,Mango,Organic,https://post.medicalnewstoday.com/wp-content/uploads/sites/3/2022/01/mangoes_what_to_know_732x549_thumb-732x549.jpg,"A mango is an edible stone fruit produced by the tropical tree Mangifera indica which is believed to have originated in the region between northwestern Myanmar, Bangladesh, and northeastern India.",23.38,1
82,Mango,Non-Organic,https://gardeningmentor.com/wp-content/uploads/2020/01/mango-tree.jpg,"Worldwide, there are several hundred cultivars of mango. Depending on the cultivar, mango fruit varies in size, shape, sweetness, skin color, and flesh color which may be pale yellow, gold, green, or orange.[",20.38,1
83,Mango,Organic,https://post.medicalnewstoday.com/wp-content/uploads/sites/3/2022/01/mangoes_what_to_know_732x549_thumb-732x549.jpg,"A mango is an edible stone fruit produced by the tropical tree Mangifera indica which is believed to have originated in the region between northwestern Myanmar, Bangladesh, and northeastern India.",9.38,2
84,Mango,Non-Organic,https://gardeningmentor.com/wp-content/uploads/2020/01/mango-tree.jpg,"Worldwide, there are several hundred cultivars of mango. Depending on the cultivar, mango fruit varies in size, shape, sweetness, skin color, and flesh color which may be pale yellow, gold, green, or orange.[",23.38,2
85,Mango,Organic,https://post.medicalnewstoday.com/wp-content/uploads/sites/3/2022/01/mangoes_what_to_know_732x549_thumb-732x549.jpg,"A mango is an edible stone fruit produced by the tropical tree Mangifera indica which is believed to have originated in the region between northwestern Myanmar, Bangladesh, and northeastern India.",28.38,3
86,Mango,Non-Organic,https://gardeningmentor.com/wp-content/uploads/2020/01/mango-tree.jpg,"Worldwide, there are several hundred cultivars of mango. Depending on the cultivar, mango fruit varies in size, shape, sweetness, skin color, and flesh color which may be pale yellow, gold, green, or orange.[",25.38,3
87,Mango,Organic,https://post.medicalnewstoday.com/wp-content/uploads/sites/3/2022/01/mangoes_what_to_know_732x549_thumb-732x549.jpg,"A mango is an edible stone fruit produced by the tropical tree Mangifera indica which is believed to have originated in the region between northwestern Myanmar, Bangladesh, and northeastern India.",22.38,4
88,Mango,Non-Organic,https://gardeningmentor.com/wp-content/uploads/2020/01/mango-tree.jpg,"Worldwide, there are several hundred cultivars of mango. Depending on the cultivar, mango fruit varies in size, shape, sweetness, skin color, and flesh color which may be pale yellow, gold, green, or orange.[",7.38,4
89,Mango,Organic,https://post.medicalnewstoday.com/wp-content/uploads/sites/3/2022/01/mangoes_what_to_know_732x549_thumb-732x549.jpg,"A mango is an edible stone fruit produced by the tropical tree Mangifera indica which is believed to have originated in the region between northwestern Myanmar, Bangladesh, and northeastern India.",23.38,5
90,Mango,Non-Organic,https://gardeningmentor.com/wp-content/uploads/2020/01/mango-tree.jpg,"Worldwide, there are several hundred cultivars of mango. Depending on the cultivar, mango fruit varies in size, shape, sweetness, skin color, and flesh color which may be pale yellow, gold, green, or orange.[",8.38,5
91,Mango,Organic,https://post.medicalnewstoday.com/wp-content/uploads/sites/3/2022/01/mangoes_what_to_know_732x549_thumb-732x549.jpg,"A mango is an edible stone fruit produced by the tropical tree Mangifera indica which is believed to have originated in the region between northwestern Myanmar, Bangladesh, and northeastern India.",28.38,6
92,Mango,Non-Organic,https://gardeningmentor.com/wp-content/uploads/2020/01/mango-tree.jpg,"Worldwide, there are several hundred cultivars of mango. Depending on the cultivar, mango fruit varies in size, shape, sweetness, skin color, and flesh color which may be pale yellow, gold, green, or orange.[",27.38,6
